视频,画面类型,变化帧数,第一次出现秒,最后一次出现秒,累计占用秒,平均停留秒,中位停留秒
差评君,开场问题图/封面图,2,0.5,13.233,17.17,8.58,8.58
差评君,新闻/网页资料页,4,17.667,34.933,28.43,7.11,7.58
差评君,公司 Logo 阵列,5,46.1,63.7,32.1,6.42,3.37
差评君,航天/工业 B-roll,15,78.2,148.167,74.2,4.95,3.43
差评君,3D 概念/结构解释,9,152.4,240.233,130.83,14.54,7.57
差评君,成本/参数信息图,2,283.233,284.733,16.77,8.38,8.38
冲浪普拉斯,黑网格资料卡,18,0.5,63.5,73.6,4.09,0.85
冲浪普拉斯,表格/商业模式标签,15,74.1,124.733,53.43,3.56,3.07
冲浪普拉斯,堆叠截图/舆论证据,31,127.533,189.1,71.97,2.32,1.23
冲浪普拉斯,文件/产品 UI 小卡,20,199.5,238.267,47.03,2.35,0.73
冲浪普拉斯,架构图/机制图,19,246.533,290.5,53.47,2.81,1.6
